,event,time,Factory,Provider,T0,Cs,As,Sp
150,True,33.49,1.0,1.0,19.415,-0.407,1.626,1.047
151,False,13.99,0.0,1.0,17.827,-5.998,-0.667,1.294
152,True,33.42,1.0,0.0,27.158,0.732,-0.371,1.035
153,True,135.18,1.0,1.0,16.216,-1.072,-1.47,1.337
154,True,49.22,1.0,1.0,23.917,5.675,0.902,1.398
155,False,28.55,2.0,1.0,27.911,-4.344,1.082,1.188
156,False,85.67,1.0,1.0,25.647,0.66,-1.682,1.281
157,True,17.28,2.0,0.0,30.441,-3.549,0.688,1.009
158,True,31.810000000000002,1.0,0.0,18.429,0.233,-0.318,0.479
159,True,60.67,1.0,1.0,16.426,0.922,1.442,0.953
160,True,80.64,1.0,1.0,16.321,2.372,-0.919,1.214
161,True,65.33,2.0,1.0,23.366,-4.235,-1.779,0.891
162,True,14.6,0.0,0.0,12.55,-3.823,-0.952,0.419
163,False,19.03,0.0,0.0,17.322,-8.217,0.733,0.885
164,False,9.399999999999999,1.0,0.0,11.325,1.289,-0.866,0.693
165,False,103.63,0.0,1.0,13.316,-2.895,-1.275,1.074
166,True,84.82,0.0,1.0,16.319,-3.147,-1.773,0.888
167,True,9.98,1.0,1.0,17.227,-3.815,1.115,1.053
168,True,41.36,2.0,0.0,24.198,-2.99,-0.962,0.71
169,True,16.16,0.0,0.0,19.947,-5.985,0.35,0.953
170,True,82.68,0.0,0.0,17.232,-1.381,-0.517,1.101
171,True,65.71,0.0,0.0,17.602,-4.359,-0.161,1.35
172,True,52.370000000000005,0.0,1.0,10.774,-5.644,1.199,1.301
173,True,24.439999999999998,1.0,0.0,23.336,5.467,0.075,0.879
174,True,119.91,0.0,1.0,10.139,-4.209,0.31,1.356
175,True,74.28,1.0,1.0,22.006,1.784,0.582,1.363
176,True,44.32000000000001,0.0,0.0,20.741,-3.792,-0.278,0.2
177,False,32.25,1.0,0.0,22.271,0.983,0.145,0.852
178,True,83.13000000000001,2.0,1.0,26.759,-7.379,-0.89,1.218
179,True,15.809999999999999,2.0,1.0,20.765,-1.587,-0.429,1.351
180,True,76.34,1.0,1.0,25.725,2.831,-1.251,1.271
181,True,31.589999999999996,1.0,0.0,13.555,-0.378,0.175,0.415
182,True,56.11,1.0,0.0,20.015,-1.289,1.528,0.407
183,True,121.6,2.0,0.0,32.973,-3.139,0.897,0.636
184,False,30.0,1.0,1.0,25.809,0.365,1.616,0.872
185,True,80.79,1.0,0.0,12.853,0.722,0.798,0.83
186,True,20.4,1.0,0.0,21.086,1.21,1.027,0.738
187,True,17.88,2.0,1.0,18.515,1.245,-1.04,1.165
188,True,44.089999999999996,1.0,1.0,17.184,4.875,1.186,1.355
189,True,35.04,1.0,0.0,24.841,3.898,-0.167,0.603
190,True,36.68,1.0,0.0,23.288,-1.386,1.431,0.414
191,True,74.34,0.0,1.0,12.465,-4.93,1.807,0.55
192,True,135.07,2.0,1.0,25.419,-2.317,1.283,1.279
193,False,13.360000000000001,0.0,1.0,12.405,-0.543,1.262,1.167
194,True,44.57,0.0,0.0,14.224,-2.02,0.516,0.637
195,True,2.3400000000000003,2.0,1.0,29.596,-0.398,-1.749,0.551
196,True,50.599999999999994,1.0,1.0,16.11,5.036,-0.965,1.182
197,True,68.01,1.0,1.0,24.948,1.729,-1.867,1.355
198,True,48.06,0.0,0.0,15.062,-6.749,-0.579,0.757
199,True,76.41,2.0,1.0,26.988,-4.955,-1.935,1.122
200,True,52.480000000000004,0.0,1.0,9.709,-3.629,-0.395,1.31
201,True,78.62,1.0,1.0,21.557,4.693,-1.602,1.335
202,True,28.35,2.0,0.0,30.188,-7.295,1.478,0.428
203,True,2.3200000000000003,2.0,0.0,22.171,-2.033,-0.693,1.034
204,True,43.39,2.0,1.0,33.336,-3.308,0.458,1.367
205,True,127.14,0.0,1.0,15.039,0.018,-1.938,0.534
206,True,74.88000000000001,2.0,1.0,26.268,-3.183,-1.728,0.996
207,True,36.29,2.0,1.0,30.061,-1.948,-1.115,0.994
208,True,113.91999999999999,1.0,1.0,14.954,-5.633,-1.476,1.397
209,False,52.99,1.0,1.0,12.852,-0.715,-1.538,0.688
210,False,34.74,0.0,1.0,15.839,-3.258,1.897,1.4
211,True,53.83,0.0,0.0,8.982,-0.718,-0.364,1.161
212,True,82.44999999999999,2.0,0.0,22.733,-2.356,0.555,0.197
213,True,101.64,2.0,1.0,20.827,-5.56,1.958,1.319
214,True,51.63,2.0,0.0,23.624,-3.724,1.133,0.92
215,True,104.44000000000001,1.0,0.0,23.81,1.31,-1.034,0.806
216,True,44.71,1.0,0.0,16.975,-0.642,-1.016,0.815
217,True,61.19,0.0,0.0,14.875,-7.444,0.069,0.551
218,True,98.34,0.0,0.0,22.178,-7.748,0.219,0.923
219,False,17.6,0.0,0.0,15.853,-6.288,0.826,0.584
220,True,58.53,2.0,0.0,30.191,-8.643,-0.558,1.147
221,False,25.990000000000002,0.0,1.0,13.644,0.846,1.7,1.348
222,True,69.29,0.0,0.0,12.276,-4.388,-1.069,0.778
223,True,38.71,1.0,1.0,18.027,2.41,1.26,1.394
224,True,183.51,2.0,1.0,29.164,-3.599,1.876,1.273
225,False,17.54,2.0,1.0,23.85,-3.172,-0.814,1.403
226,True,48.19,2.0,1.0,24.294,-6.95,-1.002,1.256
227,True,20.33,0.0,1.0,18.118,-2.902,1.804,1.033
228,False,89.08,1.0,1.0,25.135,1.939,0.759,1.329
229,True,11.799999999999999,1.0,1.0,19.662,4.717,0.923,1.236
230,True,36.66,2.0,0.0,24.423,-4.691,-0.91,0.696
231,True,70.95,1.0,0.0,20.293,2.849,-0.503,0.998
232,True,190.33999999999997,0.0,1.0,15.993,-7.739,-1.049,1.146
233,True,76.66,0.0,0.0,9.77,-3.16,-0.203,0.884
234,True,28.08,0.0,1.0,9.82,-5.378,1.357,1.024
235,True,117.12,2.0,0.0,23.442,-7.933,0.01,1.331
236,True,35.62,0.0,1.0,11.703,-4.52,0.536,1.212
237,True,3.6399999999999997,1.0,1.0,17.835,4.694,1.761,1.002
238,True,145.91,2.0,1.0,28.294,-4.294,0.798,1.368
239,True,88.04,2.0,1.0,23.628,-4.219,1.978,0.439
240,False,27.71,0.0,1.0,14.819,-5.368,-1.717,0.91
241,True,88.02,0.0,0.0,17.164,-2.159,-1.391,0.575
242,True,15.120000000000001,2.0,0.0,22.424,-3.244,-1.475,0.645
243,True,33.02,0.0,1.0,11.374,-7.896,-0.469,1.258
244,True,134.55,2.0,1.0,23.865,-7.117,1.871,0.433
245,True,9.93,0.0,0.0,11.249,-0.234,-0.901,0.607
246,True,12.6,1.0,0.0,15.766,1.367,1.587,0.611
247,True,24.540000000000003,0.0,0.0,10.859,-3.883,0.208,0.956
248,True,45.44,0.0,0.0,14.466,-6.945,-0.178,0.627
249,True,2.8000000000000003,1.0,0.0,25.088,6.532,-1.006,0.153
250,True,1.9500000000000002,1.0,0.0,23.823,5.696,-0.758,0.713
251,False,14.76,1.0,0.0,20.965,-2.756,0.1,1.001
252,True,67.72999999999999,0.0,1.0,19.413,-4.658,-0.666,1.303
253,True,43.93,0.0,1.0,15.169,0.184,1.449,1.344
254,False,14.48,1.0,0.0,16.224,3.213,-0.985,0.464
255,True,53.730000000000004,0.0,1.0,11.951,-7.884,-1.581,0.779
256,True,6.14,0.0,0.0,17.359,-3.293,0.96,0.85
257,True,88.75999999999999,2.0,0.0,26.371,-3.274,0.49,0.918
258,False,20.630000000000003,0.0,0.0,8.23,-2.132,-1.18,0.796
259,True,100.5,2.0,1.0,28.816,-6.12,0.705,1.232
260,True,12.620000000000001,0.0,0.0,16.077,-4.006,0.175,0.932
261,True,157.64,2.0,1.0,27.214,-3.056,-1.879,0.917
262,True,136.45,1.0,1.0,17.81,-0.995,-1.968,0.714
263,False,41.529999999999994,1.0,0.0,20.2,0.958,0.122,1.299
264,True,12.61,2.0,1.0,26.803,-2.567,-1.642,0.613
265,True,67.96000000000001,2.0,1.0,25.978,0.955,-1.903,0.793
266,True,14.139999999999999,1.0,0.0,20.92,3.974,0.489,0.94
267,True,112.72999999999999,1.0,1.0,26.776,-1.115,-1.161,1.24
268,True,49.79,0.0,0.0,16.471,-5.473,0.309,0.884
269,True,151.37,2.0,1.0,21.234,-4.159,0.688,1.34
270,False,33.769999999999996,1.0,1.0,23.255,3.584,-1.989,0.767
271,False,9.77,1.0,0.0,23.347,3.971,0.402,0.596
272,True,162.13,1.0,1.0,20.921,-2.422,1.851,1.39
273,False,25.560000000000002,1.0,1.0,22.927,4.095,0.786,1.12
274,True,80.64,0.0,0.0,13.495,-5.8,0.039,0.815
275,False,23.650000000000002,2.0,1.0,31.255,-0.657,1.163,1.269
276,False,16.919999999999998,1.0,0.0,18.344,2.415,-0.232,0.283
277,True,10.27,2.0,1.0,26.023,-3.931,0.776,1.279
278,True,43.650000000000006,0.0,0.0,11.164,-6.589,-1.089,0.599
279,False,83.69999999999999,2.0,1.0,20.291,-2.938,0.493,1.244
280,True,15.9,1.0,0.0,19.241,-1.171,0.475,1.211
281,False,21.6,0.0,1.0,5.859,-1.491,1.922,1.219
282,True,60.519999999999996,2.0,0.0,25.623,-4.309,0.011,1.3
283,True,37.85,1.0,0.0,20.761,1.066,0.166,1.301
284,True,82.17,0.0,1.0,14.557,-5.53,1.32,1.369
285,True,96.22999999999999,2.0,1.0,23.377,-5.524,1.679,1.362
286,False,41.769999999999996,0.0,0.0,20.141,-5.147,-1.301,0.666
287,True,120.22999999999999,2.0,1.0,21.328,-2.888,1.809,0.894
288,True,152.0,0.0,1.0,21.181,-3.63,-1.358,1.243
289,True,11.31,1.0,0.0,18.797,1.092,-0.214,1.277
290,True,52.88,2.0,1.0,27.734,-1.914,-1.359,0.803
291,True,84.96000000000001,1.0,0.0,19.177,1.459,-0.239,1.302
292,False,32.89,1.0,0.0,19.212,1.001,0.786,1.005
293,True,16.240000000000002,1.0,1.0,21.406,2.027,-1.842,1.327
294,True,116.15,2.0,1.0,30.195,-5.097,-1.756,1.277
295,True,50.78,2.0,1.0,19.911,-3.517,0.96,1.262
296,True,5.659999999999999,0.0,0.0,20.256,-3.644,0.69,0.34
297,False,104.02,2.0,1.0,23.731,-0.616,-0.782,1.411
298,False,26.349999999999998,1.0,0.0,20.705,1.432,-0.551,0.343
299,False,55.199999999999996,1.0,1.0,16.292,1.03,-0.487,1.385
300,False,33.980000000000004,0.0,0.0,13.39,-0.906,-1.301,0.829
301,True,42.75,2.0,1.0,29.666,-4.251,0.721,1.322
302,True,132.22,2.0,0.0,27.932,-7.41,0.429,0.299
303,True,55.19,1.0,0.0,16.453,4.35,-0.864,1.023
304,True,72.18,0.0,0.0,4.801,-6.467,0.058,0.727
305,True,72.91,1.0,0.0,13.652,2.095,-0.174,0.806
306,True,107.92,2.0,1.0,25.226,-7.98,1.882,1.211
307,True,60.17,0.0,1.0,21.936,-4.482,-1.613,0.791
308,True,53.449999999999996,2.0,0.0,29.691,-5.947,0.364,0.798
309,True,51.120000000000005,0.0,1.0,18.284,-4.259,-0.411,1.413
310,True,75.94,0.0,0.0,19.072,-7.107,-0.592,0.941
311,True,30.459999999999997,2.0,0.0,23.086,-0.841,0.55,1.119
312,True,155.96,2.0,1.0,30.381,-2.905,1.905,1.249
313,True,75.05,2.0,0.0,32.092,-3.038,1.058,0.891
314,True,38.849999999999994,2.0,1.0,29.896,-5.143,-0.658,1.187
315,True,46.48,0.0,1.0,17.906,-3.026,-1.749,1.016
316,True,6.97,2.0,0.0,19.592,-3.638,-0.271,0.297
317,True,155.54,2.0,1.0,28.673,-4.466,1.092,1.355
318,False,34.489999999999995,0.0,1.0,11.535,-0.823,-1.531,1.254
319,True,42.97,0.0,0.0,15.518,-1.29,0.359,0.991
320,True,9.06,0.0,1.0,11.816,-0.334,1.393,1.32
321,True,73.77,0.0,1.0,16.661,-3.509,1.934,0.633
322,True,64.19,1.0,0.0,18.662,-3.068,-0.479,1.187
323,True,164.38,2.0,0.0,24.433,-5.63,0.74,0.792
324,True,30.39,2.0,1.0,20.326,-2.896,1.448,1.269
325,True,3.2,0.0,0.0,14.61,-2.017,-0.009,0.569
326,True,97.12,0.0,1.0,12.879,-2.929,-1.034,1.151
327,True,54.95,2.0,1.0,19.571,-4.631,1.438,1.329
328,True,38.58,0.0,0.0,15.052,-5.303,-0.118,1.24
329,True,159.69,2.0,1.0,26.431,-4.117,-0.172,1.386
330,True,73.94999999999999,0.0,0.0,13.017,-3.609,-0.305,1.195
331,True,39.97,1.0,1.0,21.657,0.162,-1.531,0.957
332,True,25.65,1.0,0.0,17.411,5.215,-0.385,0.633
333,True,16.220000000000002,1.0,0.0,16.354,1.885,0.686,0.788
334,True,63.449999999999996,0.0,0.0,19.052,-7.617,0.855,0.746
335,True,17.48,0.0,0.0,19.014,-5.62,-0.403,0.522
336,True,129.17,0.0,1.0,11.72,-5.54,0.458,1.311
337,True,72.47,2.0,0.0,31.868,-2.165,1.29,0.783
338,True,96.57,2.0,0.0,19.811,-2.656,0.905,0.384
339,True,132.35,0.0,0.0,20.616,-2.728,-1.558,0.616
340,True,22.57,1.0,0.0,22.955,1.328,-0.379,0.846
341,True,17.41,1.0,1.0,20.86,2.932,-1.88,0.974
342,True,51.42,1.0,0.0,19.254,-0.045,-1.561,0.652
343,True,68.77,2.0,0.0,23.692,-1.388,0.813,0.734
344,True,93.2,0.0,1.0,13.966,-5.597,1.837,1.26
345,True,107.94,0.0,1.0,17.89,-4.293,1.469,1.372
346,True,35.62,2.0,0.0,25.391,-1.196,0.14,0.619
347,True,0.94,1.0,0.0,15.183,1.905,0.097,0.735
348,True,25.4,2.0,1.0,25.997,-3.488,-1.238,1.387
349,False,31.68,0.0,0.0,16.503,-4.022,0.073,1.171
350,True,6.93,1.0,0.0,19.097,3.391,-0.507,1.053
351,True,17.98,1.0,1.0,20.935,3.234,-1.678,1.288
352,True,34.29,0.0,1.0,19.971,-4.769,-1.114,1.265
353,True,140.37,1.0,1.0,22.939,3.897,-0.94,1.317
354,True,51.52,2.0,1.0,20.855,-6.249,-1.738,1.194
355,True,57.089999999999996,1.0,0.0,23.754,-0.201,-1.352,0.489
356,True,28.55,0.0,0.0,15.016,-7.338,1.094,0.418
357,True,96.06,0.0,1.0,20.7,-0.131,-1.387,1.096
358,True,2.3200000000000003,1.0,0.0,17.231,3.076,-0.268,0.336
359,False,89.85,2.0,0.0,30.94,-7.392,-0.602,1.061
360,True,63.849999999999994,0.0,1.0,12.517,-7.55,1.004,1.307
361,False,16.25,0.0,1.0,12.138,-0.583,-1.884,1.258
362,True,2.08,2.0,0.0,18.918,-4.608,-0.43,1.23
363,True,58.86,1.0,1.0,21.657,-0.437,0.763,1.396
364,False,11.66,0.0,0.0,12.935,-2.218,1.037,0.736
365,True,7.8100000000000005,1.0,0.0,19.656,3.465,0.004,0.703
366,True,56.879999999999995,2.0,0.0,30.001,-2.134,-0.54,0.978
367,True,6.17,1.0,0.0,18.023,0.073,-0.016,0.853
368,False,17.89,1.0,0.0,22.626,1.516,-0.891,0.312
369,True,120.81,1.0,1.0,19.615,1.59,-1.53,1.166
370,True,34.65,1.0,1.0,21.19,3.379,-1.813,1.372
371,True,77.19,2.0,1.0,34.807,-1.955,-1.985,1.134
372,True,120.85000000000001,1.0,1.0,21.386,1.116,0.451,1.294
373,True,70.83,1.0,1.0,18.068,4.428,1.528,0.937
374,True,21.21,0.0,0.0,14.247,-3.724,1.866,0.175
375,True,27.11,1.0,0.0,24.555,1.116,-0.798,0.445
376,True,38.99,1.0,0.0,21.793,1.79,1.723,0.288
377,False,8.56,2.0,1.0,36.606,-7.183,-0.931,1.229
378,True,73.96,0.0,1.0,12.431,-5.596,-0.512,1.412
379,True,42.14,1.0,0.0,19.206,2.602,-1.009,0.853
380,False,30.009999999999998,2.0,0.0,30.297,-2.502,1.435,0.407
381,True,70.86,0.0,0.0,14.41,-3.378,-0.222,0.81
382,False,19.87,0.0,1.0,13.111,-5.321,1.523,1.334
383,True,85.39,0.0,1.0,10.433,-4.686,1.968,0.702
384,False,11.299999999999999,0.0,1.0,16.41,-6.056,1.865,1.081
385,False,12.030000000000001,1.0,0.0,19.064,1.625,0.703,1.01
386,False,13.43,2.0,1.0,31.341,-4.79,-1.134,1.156
387,True,43.339999999999996,0.0,1.0,20.575,-3.904,1.691,0.908
388,True,2.54,2.0,0.0,20.372,-1.445,-0.188,0.155
389,True,86.08000000000001,0.0,1.0,8.034,-3.139,1.113,1.173
390,True,39.96,0.0,0.0,14.512,-4.426,-1.444,0.541
391,True,19.23,1.0,1.0,20.998,2.157,1.371,1.128
392,True,45.46,2.0,1.0,24.134,-0.148,-1.59,1.172
393,False,16.599999999999998,2.0,1.0,26.818,-3.452,-0.783,1.303
394,True,73.3,1.0,0.0,20.728,1.825,-0.301,1.253
395,False,29.57,0.0,0.0,11.95,-7.299,0.273,1.007
396,True,68.86999999999999,0.0,0.0,18.189,-5.888,0.386,1.237
397,True,200.10999999999999,2.0,1.0,22.69,-5.97,1.904,1.315
398,True,74.89,2.0,0.0,22.035,-3.813,-0.433,1.016
399,True,67.23,2.0,0.0,24.91,-6.784,-0.998,0.258
400,True,42.89,2.0,1.0,23.824,-4.21,-1.84,0.748
401,False,48.26,0.0,0.0,8.877,-2.349,-0.367,0.7
402,True,21.269999999999996,0.0,1.0,13.916,-8.497,1.237,0.914
403,False,40.88,2.0,1.0,26.563,-0.493,1.817,0.77
404,False,41.4,1.0,1.0,21.885,-0.747,1.59,1.039
405,True,12.39,1.0,0.0,19.403,4.605,-0.57,0.698
406,True,131.82999999999998,0.0,1.0,11.77,0.298,-0.846,1.224
